ISO,FILENAME,MEAN_VALUE
ARM,p2,100.0
ARM,a1,100.0
ARM,t6,0.0
ARM,h2,100.0
ARM,cv5b,12.0
ARM,a2,0.0
ARM,h1,100.0
ARM,t4,0.0
ARM,h5,100.0
ARM,cr1,5.0
ARM,h6,
ARM,h4,100.0
ARM,t1,100.0
BEL,h3,100.0
BEL,t5,0.0
BEL,t3,0.0
BEL,t2,0.0
BEL,a3,0.0
BEL,cr2,72.0
BEL,cr4,72.0
BEL,p2,100.0
BEL,a1,100.0
BEL,t6,0.0
BEL,h2,100.0
BEL,cv5b,12.0
BEL,a2,0.0
BEL,h1,100.0
BEL,t4,0.0
BEL,h5,100.0
BEL,cr1,5.0
BEL,h6,
BEL,h4,100.0
BEL,t1,100.0
CMR,h3,100.0
CMR,t5,0.0
CMR,t3,0.0
CMR,t2,0.0
CMR,a3,0.0
CMR,cr2,5.0
CMR,cr4,11.0
CMR,p2,100.0
CMR,a1,100.0
CMR,t6,0.0
CMR,h2,100.0
CMR,cv5b,12.0
CMR,a2,0.0
CMR,h1,100.0
CMR,t4,0.0
CMR,h5,100.0
CMR,cr1,5.0
CMR,h6,
CMR,h4,100.0
CMR,t1,100.0
HTI,h3,100.0
HTI,t5,0.0
HTI,t3,0.0
HTI,t2,0.0
HTI,a3,0.0
HTI,cr2,10.0
HTI,cr4,22.0
HTI,p2,100.0
HTI,a1,100.0
HTI,t6,0.0
HTI,h2,100.0
HTI,cv5b,12.0
HTI,a2,0.0
HTI,h1,100.0
HTI,t4,0.0
HTI,h5,100.0
HTI,cr1,5.0
HTI,h6,
HTI,h4,100.0
HTI,t1,100.0
BFA,h3,100.0
BFA,t5,0.0
BFA,t3,0.0
BFA,t2,0.0
BFA,a3,0.0
BFA,cr2,5.0
BFA,cr4,11.0
BFA,p2,100.0
BFA,a1,100.0
BFA,t6,0.0
BFA,h2,100.0
BFA,cv5b,12.0
BFA,a2,0.0
BFA,h1,100.0
BFA,t4,0.0
BFA,h5,100.0
BFA,cr1,5.0
BFA,h6,
BFA,h4,100.0
BFA,t1,100.0
ARE,h3,100.0
ARE,t5,0.0
ARE,t3,0.0
ARE,t2,0.0
ARE,a3,0.0
ARE,cr2,10.0
ARE,cr4,22.0
ARE,p2,100.0
ARE,a1,100.0
ARE,t6,0.0
ARE,h2,100.0
ARE,cv5b,12.0
ARE,a2,0.0
ARE,h1,100.0
ARE,t4,0.0
ARE,h5,100.0
ARE,cr1,5.0
ARE,h6,
ARE,h4,100.0
ARE,t1,100.0
MMR,h3,100.0
MMR,t5,0.0
MMR,t3,0.0
MMR,t2,0.0
MMR,a3,0.0
MMR,cr2,33.0
MMR,cr4,33.0
MMR,p2,100.0
MMR,a1,100.0
MMR,t6,0.0
MMR,h2,100.0
MMR,cv5b,12.0
MMR,a2,0.0
MMR,h1,100.0
MMR,t4,0.0
MMR,h5,100.0
MMR,cr1,5.0
MMR,h6,
MMR,h4,100.0
MMR,t1,100.0
LTU,h3,100.0
